Compound_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
Com_92_pos,74187732.16,54768190.08,66980904.3,167828512.7,33723200.6,289975428.9,557684037.2,43876139.5,4640548366,792476582.4,3887588428,3710169103,371850944.2,36862176.52,6502902490,1914007998,157454922.1,200639320.9,219936607.7,167213525.2,117096449.4,137117673.1,968278396.4,902508483.6,1777775367,513323667.7,932395072.4,2750679917,1481514056,238341195.9,2588940650,1093008465
Com_97_pos,87704408.31,292375661.5,246406237.8,195302419.4,194198633.6,369098801.7,4045788729,176076415.2,2788237276,820402486.2,572455411.3,206169866.9,538231796.1,190790217,6270849552,949736065.3,978250203,2581215556,518488775.8,881710275.4,1513982003,850452993.7,366074121.4,1510278875,397703494.9,388715617.3,435401662.8,869262903.6,215142881.3,720420811.9,541690481.5,457729779
Com_98_pos,6414524435,371363163.5,234374398.8,1517893762,135364956,2709635802,2363317278,2074101821,355168131.5,249123725.8,189881783.7,3870465390,2505465701,165344205.4,984680616.2,5127248108,269033951.2,457594337.3,582974097,359107403.5,384395931.2,155892416,262399592.5,657580870.8,72072201.14,127896940.9,54919627.38,640281400.4,45451946.77,60543937.49,570391337.7,79336274.81
Com_298_pos,995844317.4,347690149.3,153648592.3,706531186.4,227343226.4,748211592.9,929981657.6,677718981.2,905819230.9,752127204.4,698065119.6,1250317154,607876236.1,276489212.5,1622561476,857745223.8,700089324.6,749607090.2,463607233.3,378524563.9,781199610.2,455430183.3,647105970.9,566139764.6,273700874.9,238300350.5,344416817.2,812196392.6,103276650.3,256284546.2,293415356.1,393372570.2
Com_463_pos,892154955.6,427652154.3,383948904.6,716425220.3,236255352,1139996706,605136215.4,354745703.3,343754906.5,124146691.8,864377995.2,409851316.3,620678111.2,305046183.3,598169127.6,273483356.6,142722017.9,203387764.7,94521548.98,112019611.3,202637490,98786070.03,64781976.61,112260591.6,118924855.8,69154349.54,92463925.4,166324363.6,58766680.59,58060293.49,201805564.3,55816510.17
Com_740_pos,409601187,344779221,364132706.8,329887879.8,216746261.8,681676742,631164991,443315771.9,284343362.2,140884548.1,517121870.4,416204321.5,331653799.8,214582970.1,270490780.5,365647856.5,516147941.2,669969764,752118141.9,423885539.1,504767892.8,381574877.4,351777345,424484849.2,420948666.4,147642850.2,284860795.4,246281481.8,226188396.8,107372347.8,356514471.9,265942861.3
Com_781_pos,18856548.58,25163080.31,45629662.86,17393148.27,21488526.88,37859718.26,56157561.06,18358472.99,495080410.3,22881599.44,37039524.41,149320375.2,160658525.3,41388680.15,503524579,40576980.36,23487266.57,30155916.24,20948547.3,32011038.74,22287475.56,21690149.09,329873096.1,21542585.72,18400669.67,28664397.28,10708707.8,89288419.79,10398067.76,20234613.92,112827697.1,31503638.72
Com_809_pos,14658009.63,17111908.06,12835430.95,9870696.212,4337189.406,20007392.09,20209506.28,19197944.65,55768968.88,16602632.63,131040675.8,30164675.76,18418684.17,7661180.086,623163460.1,46692082.57,12289980,11368127.72,16651942.85,16500097.34,11272717.97,14406937.77,10817544.48,15510691.98,11825328.32,27236657.11,9533368.006,7910452.374,8697913.039,13587669.8,9338749.987,28103914.23
Com_818_pos,10230538.98,29831797.72,36371450.55,7944398.054,1202932.657,20630123.86,99573341.21,15056079.26,81996910.68,45308907.14,38608904.8,14747295.35,6023725.42,7104466.531,68047318.08,33272002.75,277818713.6,181544434.9,90189844.47,211283714.6,660762864.1,114287902,838386317.3,428573279.5,288571948.5,262864823.4,228564862.7,385241180.5,121430026,47058432.06,84859892.85,256799536.4
Com_865_pos,194993709.1,52398040.13,144393663.6,227614637.1,212066982.7,312537791.9,2186624332,527511124.6,360118722,654172371.7,22846556.93,141076468.4,297769539.2,121751546,306664929.8,185470318.3,527557107,465291446.8,170721150.1,230835380.5,1035814190,225959481.4,293289195,393305703,161569792.1,292381176.8,308626526.8,144853416.3,9888473.48,465393702.1,111526634.8,106950351.2
Com_882_pos,173769590.8,127778738.7,121616409.5,223378073.7,210239142.1,310018733.9,2128772550,490368313.4,340482890.5,600475414.8,22515469.7,137277601.8,291819674,113260869.7,298701891.3,160670625.2,491480858.6,439532119.3,146798496.3,211254784.2,939248293.8,189701082.7,238924890.2,349238217.1,148419164.8,268375299.9,270032338.2,134978770.6,9169356.055,390320032.6,92826487.48,94110790.78
Com_1033_pos,73192509.19,40190504.14,34983485.62,37741661.91,22050786.67,108844531.2,97953833.95,70044111.05,268874333.5,258386122.3,195282619.1,439347112.4,74413125.05,22494649.53,460809653.8,358986900.2,33961435.31,44315202.62,32401741.28,41257823.26,31015674.74,28532137.04,28698419.4,71184464.14,29537419.03,44704149.96,17085771.28,47019753.28,18333004.64,14255033.83,72224815.94,49633522.82
Com_1064_pos,3482841.208,3626906.211,2917581.658,2807533.416,1751406.656,2744494.842,5704123.153,6305816.665,20291633.27,40197175.04,31348895.01,30280774.38,7362678.789,7485130.481,44497895.39,33645729.87,5257272.118,6513367.176,4770440.768,3841589.228,12216917.31,8206474.744,6510832.47,5237280.546,5430581.825,6054517.774,10450598.59,5816089.886,2114375.448,9101414.482,5332640.563,4738899.42
Com_1500_pos,122211073.4,111522742.8,98784955.24,81089984.41,43564104.31,121551115.2,130068411.6,95467443.33,60535907.09,71233211.17,42716256.9,64743245.95,112265181.6,89655354.29,81814127.79,87705562.13,133595590.8,113371278.8,51043996.61,97981843.69,362290853.7,74485351.85,529715571.7,216968549,192192034.1,105241620.3,106219294.2,136447826.3,103577752.9,100996757.3,121168852.2,141032630.1
Com_1969_pos,13488595.61,18930579.12,17609045.98,15312356.16,9895918.141,24541548.65,13092435.04,39633413.94,54041363.53,26123170.96,200475355.8,66814735.02,34413182.09,7558004.426,43040517.71,61050994.56,26185807.14,21757677.94,45507328.05,23343649.91,27753905.14,17107488.57,27981935.49,17264338.59,18452752.93,8772125.734,18045642.59,13735020.09,11776522.32,3116884.16,21196566.94,21083548.04
