Compound_ID,Name,Other_name(Kegg_name),Formula,Molecular Weight,RT [min],Kegg_ID,KEGG_pathway,HMDB_ID,Lipidmaps_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),m/z
Com_92_pos,N-Benzylformamide,N-Benzylformamide,C8 H9 N O,135.06869,5.462,C15561,--,--,--,--,--,--,--,--,--,136.07581
Com_97_pos,DL-Carnitine,--,C7 H15 N O3,161.10548,1.407,--,--,HMDB0000062,--,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,--,--,--,162.11247
Com_98_pos,D-(+)-Proline,--,C5 H9 N O2,115.06344,1.422,--,--,--,--,--,--,--,--,--,--,116.07069
Com_298_pos,Betaine,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate",C5 H11 N O2,117.07919,1.738,C00719,"map00260  Glycine, serine and threonine metabolism;map01100  Metabolic pathways;map02010  ABC transporters",HMDB0000043,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,118.08638
Com_463_pos,L-Pyroglutamic acid,5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid,C5 H7 N O3,129.04289,2.142,C01879,map00480  Glutathione metabolism,HMDB0000267,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,130.05
Com_740_pos,Nicotinic acid,Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid,C6 H5 N O2,123.03238,1.92,C00253,"map00760  Nicotinate and nicotinamide metabolism;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites",HMDB0003269,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,124.03958
Com_781_pos,1-Phenyl-3-methyl-5-pyrazolone,--,C10 H10 N2 O,174.0796,5.465,--,--,HMDB0006240,--,Organoheterocyclic compounds,Azoles,Pyrazoles,--,--,--,175.08701
Com_809_pos,Urocanic acid,Urocanate; Urocanic acid,C6 H6 N2 O2,138.04314,1.82,C00785,map00340  Histidine metabolism;map01100  Metabolic pathways,HMDB0000301,--,Organoheterocyclic compounds,Azoles,Imidazoles,--,--,--,139.05034
Com_818_pos,2'-Deoxyadenosine,Deoxyadenosine; 2'-Deoxyadenosine,C10 H13 N5 O3,251.10238,3.398,C00559,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000101,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,--,--,--,252.10966
Com_865_pos,L-Tyrosine,L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine,C9 H11 N O3,181.07425,2.5,C00082,"map00130  Ubiquinone and other terpenoid-quinone biosynthesis;map00261  Monobactam biosynthesis;map00350  Tyrosine metabolism;map00360  Phenylalanine metabolism;map00400  Phenylalanine, tyrosine and tryptophan biosynthesis;map00460  Cyanoamino acid metabolism;map00730  Thiamine metabolism;map00940  Phenylpropanoid biosynthesis;map00950  Isoquinoline alkaloid biosynthesis;map00965  Betalain biosynthesis;map00966  Glucosinolate biosynthesis;map00970  Aminoacyl-tRNA biosynthesis;map01100  Metabolic pathways",HMDB0000158,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,182.08147
Com_882_pos,2-Hydroxycinnamic acid,--,C9 H8 O3,164.04764,2.495,--,--,HMDB0134028,--,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,--,--,--,165.05467
Com_1033_pos,Pipecolic acid,L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carboxylic acid,C6 H11 N O2,129.07926,1.843,C00408,"map00310  Lysine degradation;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites",HMDB0000716,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,130.08647
Com_1064_pos,Serotonin,Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine,C10 H12 N2 O,176.09525,4.911,C00780,map00380  Tryptophan metabolism;map01100  Metabolic pathways,HMDB0000259,--,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,--,--,--,177.10252
Com_1500_pos,2'-Deoxyguanosine,Deoxyguanosine; 2'-Deoxyguanosine,C10 H13 N5 O4,267.09689,4.237,C00330,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000085,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,--,--,--,290.08612
Com_1969_pos,Pyridoxine,Pyridoxine; Pyridoxol,C8 H11 N O3,169.07409,2.146,C00314,map00750  Vitamin B6 metabolism;map01100  Metabolic pathways,HMDB0000239,--,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines,--,--,--,170.08134
Com_1988_pos,Proline,Proline,C5 H9 N O2,115.06363,5.094,C16435,--,HMDB0003411,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,116.07084
Com_2080_pos,Methionine sulfoxide,--,C5 H11 N O3 S,165.04633,2.047,--,--,HMDB0002005,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,166.05382
Com_2915_pos,Pilocarpine,Pilocarpine,C11 H16 N2 O2,208.1215,4.963,C07474,map01110  Biosynthesis of secondary metabolites,HMDB0015217,--,Alkaloids and derivatives,,,--,--,--,209.12878
Com_2949_pos,Isotretinoin,--,C20 H28 O2,300.20923,7.649,--,--,HMDB0006219,--,Lipids and lipid-like molecules,Prenol lipids,Retinoids,--,--,--,301.21667
Com_3239_pos,Ecgonine,Ecgonine,C9 H15 N O3,185.10541,2.283,C10858,"map00960  Tropane, piperidine and pyridine alkaloid biosynthesis",HMDB0006548,--,Alkaloids and derivatives,Tropane alkaloids,,--,--,--,186.11276
Com_3430_pos,Acetyl-L-carnitine,--,C9 H17 N O4,203.11603,1.79,--,--,HMDB0000201,LMFA07070050,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],204.12354
Com_3530_pos,4-Guanidinobutyric acid,4-Guanidinobutanoate; 4-Guanidinobutyric acid,C5 H11 N3 O2,145.0854,1.733,C01035,map00330  Arginine and proline metabolism;map01100  Metabolic pathways,HMDB0003464,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,146.0925
Com_3904_pos,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,--,C8 H8 O4,168.04262,5.291,--,--,--,--,--,--,--,--,--,--,169.04988
Com_4257_pos,Indole-3-acetic acid,Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; IAA,C10 H9 N O2,175.06375,5.709,C00954,map00380  Tryptophan metabolism;map01100  Metabolic pathways;map04075  Plant hormone signal transduction,HMDB0000197,--,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,--,--,--,176.07126
Com_4330_pos,2'-O-Methyladenosine,--,C11 H15 N5 O4,281.11323,4.809,--,--,HMDB0004326,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,--,--,--,282.12061
Com_4453_pos,"2-Amino-1,3,4-octadecanetriol",--,C18 H39 N O3,317.29344,6.818,--,--,--,--,--,--,--,--,--,--,318.30093
Com_4607_pos,4-Methyl-5-thiazoleethanol,--,C6 H9 N O S,143.04099,4.791,--,--,HMDB0032985,--,Organoheterocyclic compounds,Azoles,Thiazoles,--,--,--,144.04829
